Component,Section,Field,English Text,Turkish Text,Translator Notes
Hero,Main Title,Title,"Weight Loss Through
Balance, Not Force","Kilo Verme
Denge ile, Zorla Değil",
Hero,Subtitle,Description,"A personalised weight loss wellness retreat with flexible start dates and program durations ranging from 4 days to extended stays.","Esnek başlangıç tarihleri ve 4 günden uzun konaklamalara kadar program süreleriyle kişiselleştirilmiş kilo verme wellness retreat'i.",
Hero,Quote,Italic Text,"Your journey begins when you're ready — and continues for as long as your body requires.","Yolculuğunuz hazır olduğunuzda başlar — ve vücudunuzun gerektirdiği sürece devam eder.",
Hero,Button,CTA,"Start Your Journey","Yolculuğunuza Başlayın",
Results,Section Title,Heading,"Real Change. Real Results.","Gerçek Değişim. Gerçek Sonuçlar.",
Results,Section Description,Subheading,"Measured in energy, clarity, fat loss, and sustainable change.","Enerji, netlik, yağ kaybı ve sürdürülebilir değişimle ölçülür.",
Results,Card 1,Title,"Quick","Hızlı",
Results,Card 1,Description,"See and feel results within days, not months. Our intensive programs kickstart your transformation immediately.","Aylar değil, günler içinde sonuçları görün ve hissedin. Yoğun programlarımız dönüşümünüzü hemen başlatır.",
Results,Card 1,Stat Label,"To visible results","Görünür sonuçlara",
Results,Card 2,Title,"Lasting","Kalıcı",
Results,Card 2,Description,"Sustainable weight loss and lifestyle changes that stick. Learn habits that support lifelong wellbeing.","Sürdürülebilir kilo kaybı ve yaşam tarzı değişiklikleri. Yaşam boyu sağlığı destekleyen alışkanlıklar öğrenin.",
Results,Card 2,Stat Label,"Maintain results 6+ months","6+ ay sonuçları koruma",
Results,Card 3,Title,"Impactful","Etkili",
Results,Card 3,Description,"Achieve significant weight loss results. Guests commonly lose substantial kilos through our medically-supervised programs.","Önemli kilo verme sonuçları elde edin. Misafirlerimiz tıbbi gözetimli programlarımız aracılığıyla önemli kilo kaybederler.",
Results,Card 3,Stat Label,"Average weight loss (14 days)","Ortalama kilo kaybı (14 gün)",
Results,Card 4,Title,"Lose from Fat & Toxins","Yağ ve Toksinlerden Kaybetme",
Results,Card 4,Description,"Target actual fat loss and reduced toxic load.","Gerçek yağ kaybını ve azaltılmış toksik yükü hedefleyin.",
Results,Card 4,Stat Label,"Fat loss vs water weight","Yağ kaybı vs su kaybı",
WhatsIncluded,Section Title,Heading,"What's Included in Your Retreat","Retreat'inizde Neler Dahil",
WhatsIncluded,Section Description,Subheading,"No add-ons, no hidden costs — every service below is included in your program.","Ek ücret yok, gizli maliyet yok — aşağıdaki her hizmet programınıza dahildir.",
WhatsIncluded,Category 1,Title,"Accommodation & Nutrition","Konaklama ve Beslenme",
WhatsIncluded,Category 1,Description,"A supportive retreat environment combined with personalised nourishment designed to restore balance.","Dengeyi geri kazandırmak için tasarlanmış kişiselleştirilmiş beslenme ile destekleyici bir retreat ortamı.",
WhatsIncluded,Category 1,Item 1,"Accommodation in our retreat resorts (double rooms)","Retreat resortlarımızda konaklama (çift kişilik odalar)",
WhatsIncluded,Category 1,Item 2,"Personalised nutrition plan including all meals and required supplements","Tüm yemekler ve gerekli takviyeleri içeren kişiselleştirilmiş beslenme planı",
WhatsIncluded,Category 1,Item 3,"Nutritional pathways may include Master Detox, Green Juice, Raw Food, Ketogenic, Water Fasting, or Intermittent Fasting","Beslenme yolları Master Detox, Yeşil Meyve Suyu, Çiğ Gıda, Ketojenik, Su Orucu veya Aralıklı Oruç içerebilir",
WhatsIncluded,Category 1,Item 4,"All nutrition is selected based on individual medical and wellness assessment","Tüm beslenme, bireysel tıbbi ve wellness değerlendirmesine göre seçilir",
WhatsIncluded,Category 2,Title,"Wellness Services and Mental Support for Weight Management","Wellness Hizmetleri ve Kilo Yönetimi için Zihinsel Destek",
WhatsIncluded,Category 2,Description,"Daily expert guidance and core wellness therapies that support sustainable change.","Sürdürülebilir değişimi destekleyen günlük uzman rehberliği ve temel wellness terapileri.",
WhatsIncluded,Category 2,Item 1,"Daily wellness coaching with dietitians and psychologists","Diyetisyenler ve psikologlarla günlük wellness koçluğu",
WhatsIncluded,Category 2,Item 2,"Coping with Emotional Eating Session (x2)","Duygusal Yeme ile Başa Çıkma Seansı (x2)",
WhatsIncluded,Category 2,Item 3,"Body composition analysis (2×)","Vücut kompozisyon analizi (2×)",
WhatsIncluded,Category 2,Item 4,"Infrared sauna and steam room access (daily)","Kızılötesi sauna ve buhar odası erişimi (günlük)",
WhatsIncluded,Category 2,Item 5,"Colon cleansing (self-administered, daily)","Kolon temizliği (kendi kendine uygulanan, günlük)",
WhatsIncluded,Category 2,Item 6,"Unlimited detox soup and herbal teas","Sınırsız detoks çorbası ve bitki çayları",
