Component,Section,Field,English Text,Arabic Text,Translator Notes
Hero,Main Title,Title,"Weight Loss Through
Balance, Not Force","فقدان الوزن من خلال
التوازن، وليس القوة",
Hero,Subtitle,Description,"A personalised weight loss wellness retreat with flexible start dates and program durations ranging from 4 days to extended stays.","برنامج صحي مخصص لفقدان الوزن مع تواريخ بدء مرنة ومدة البرنامج تتراوح من 4 أيام إلى إقامات ممتدة.",
Hero,Quote,Italic Text,"Your journey begins when you're ready — and continues for as long as your body requires.","رحلتك تبدأ عندما تكون مستعدًا — وتستمر طالما يحتاج جسمك.",
Hero,Button,CTA,"Start Your Journey","ابدأ رحلتك",
Results,Section Title,Heading,"Real Change. Real Results.","تغيير حقيقي. نتائج حقيقية.",
Results,Section Description,Subheading,"Measured in energy, clarity, fat loss, and sustainable change.","يُقاس بالطاقة والوضوح وفقدان الدهون والتغيير المستدام.",
Results,Card 1,Title,"Quick","سريع",
Results,Card 1,Description,"See and feel results within days, not months. Our intensive programs kickstart your transformation immediately.","شاهد واشعر بالنتائج في غضون أيام، وليس أشهر. برامجنا المكثفة تبدأ تحولك على الفور.",
Results,Card 1,Stat Label,"To visible results","للنتائج المرئية",
Results,Card 2,Title,"Lasting","دائم",
Results,Card 2,Description,"Sustainable weight loss and lifestyle changes that stick. Learn habits that support lifelong wellbeing.","فقدان الوزن المستدام وتغييرات نمط الحياة التي تبقى. تعلم عادات تدعم الرفاهية مدى الحياة.",
Results,Card 2,Stat Label,"Maintain results 6+ months","الحفاظ على النتائج 6+ أشهر",
Results,Card 3,Title,"Impactful","مؤثر",
Results,Card 3,Description,"Achieve significant weight loss results. Guests commonly lose substantial kilos through our medically-supervised programs.","تحقيق نتائج كبيرة لفقدان الوزن. الضيوف عادة يفقدون كيلوغرامات كبيرة من خلال برامجنا الخاضعة للإشراف الطبي.",
Results,Card 3,Stat Label,"Average weight loss (14 days)","متوسط فقدان الوزن (14 يومًا)",
Results,Card 4,Title,"Lose from Fat & Toxins","فقدان من الدهون والسموم",
Results,Card 4,Description,"Target actual fat loss and reduced toxic load.","استهدف فقدان الدهون الفعلي وتقليل الحمل السام.",
Results,Card 4,Stat Label,"Fat loss vs water weight","فقدان الدهون مقابل فقدان الماء",
WhatsIncluded,Section Title,Heading,"What's Included in Your Retreat","ما المدرج في برنامج الاستجمام الخاص بك",
WhatsIncluded,Section Description,Subheading,"No add-ons, no hidden costs — every service below is included in your program.","لا إضافات، لا تكاليف خفية — كل خدمة أدناه مدرجة في برنامجك.",
WhatsIncluded,Category 1,Title,"Accommodation & Nutrition","الإقامة والتغذية",
