Component,Section,Field,English Text,Turkish Text,AYŞEN SUGGESTIONS
Hero,Main Title,Title,"Weight Loss Through
Balance, Not Force","Kilo Verme
Denge ile, Zorla Değil","Kilo verme 
Denge ile, zorlamadan"
Hero,Subtitle,Description,A personalised weight loss wellness retreat with flexible start dates and program durations ranging from 4 days to extended stays.,Esnek başlangıç tarihleri ve 4 günden uzun konaklamalara kadar program süreleriyle kişiselleştirilmiş kilo verme wellness retreat'i.,Esnek başlangıç tarihleri ve 4 gün ve üzeri program seçenekleri sunan kişiye özel kilo verme wellness retreati.
Hero,Quote,Italic Text,Your journey begins when you're ready — and continues for as long as your body requires.,Yolculuğunuz hazır olduğunuzda başlar — ve vücudunuzun gerektirdiği sürece devam eder.,"Yolculuğunuz, siz hazır olduğunuzda başlar — ve bedeniniz ihtiyaç duyduğu sürece devam eder."
,,,,,
,,,,,
Results,Section Description,Subheading,"Measured in energy, clarity, fat loss, and sustainable change.","Enerji, netlik, yağ kaybı ve sürdürülebilir değişimle ölçülür.","Enerji, zihinsel berraklık, yağ kaybı ve sürdürülebilir değişimle ölçülür."
,,,,,
,,,,,
,,,,,
,,,,,
Results,Card 2,Description,Sustainable weight loss and lifestyle changes that stick. Learn habits that support lifelong wellbeing.,Sürdürülebilir kilo kaybı ve yaşam tarzı değişiklikleri. Yaşam boyu sağlığı destekleyen alışkanlıklar öğrenin.,Kalıcı kilo kaybı ve sürdürülebilir yaşam tarzı değişiklikleri. Yaşam boyu sağlığı destekleyen alışkanlıklar öğrenin.
,,,,,
,,,,,
Results,Card 3,Description,Achieve significant weight loss results. Guests commonly lose substantial kilos through our medically-supervised programs.,Önemli kilo verme sonuçları elde edin. Misafirlerimiz tıbbi gözetimli programlarımız aracılığıyla önemli kilo kaybederler.,Tıbbi gözetim altında uygulanan programlarımızla belirgin bir şekilde kilo verin. Misafirlerimizin çoğu programlarımızda tatmin edici kilo kaybı yaşar.
,,,,,
Results,Card 4,Title,Lose from Fat & Toxins,Yağ ve Toksinlerden Kaybetme,Yağ ve toksinlerden arınma
,,,,,
Results,Card 4,Stat Label,Fat loss vs water weight,Yağ kaybı vs su kaybı,Yağ kaybı ve su kaybı arasındaki fark
,,,,,
WhatsIncluded,Section Description,Subheading,"No add-ons, no hidden costs — every service below is included in your program.","Ek ücret yok, gizli maliyet yok — aşağıdaki her hizmet programınıza dahildir.","Ek ücret yok, gizli maliyet yok -  aşağıdaki tüm hizmetler programınıza dahildir."
,,,,,
WhatsIncluded,Category 1,Description,A supportive retreat environment combined with personalised nourishment designed to restore balance.,Dengeyi geri kazandırmak için tasarlanmış kişiselleştirilmiş beslenme ile destekleyici bir retreat ortamı.,"Dengeyi yeniden kurmak üzere tasarlanmış, kişiye özel beslenme ile desteklenen, iyileştirici bir retreat ortamı."
,,,,,
WhatsIncluded,Category 1,Item 2,Personalised nutrition plan including all meals and required supplements,Tüm yemekler ve gerekli takviyeleri içeren kişiselleştirilmiş beslenme planı,Tüm öğünleri ve gerekli takviyeleri içeren kişiye özel beslenme planı
WhatsIncluded,Category 1,Item 3,"Nutritional pathways may include Master Detox, Green Juice, Raw Food, Ketogenic, Water Fasting, or Intermittent Fasting","Beslenme yolları Master Detox, Yeşil Meyve Suyu, Çiğ Gıda, Ketojenik, Su Orucu veya Aralıklı Oruç içerebilir","Beslenme planları; Master Detox, Yeşil Meyve-Sebze Suları, Çiğ Beslenme, Vegan Ketojenik, Su Orucu veya Aralıklı Oruç içerebilir"
WhatsIncluded,Category 1,Item 4,All nutrition is selected based on individual medical and wellness assessment,"Tüm beslenme, bireysel tıbbi ve wellness değerlendirmesine göre seçilir",Her misafirin beslenme planı tıbbi ve wellness değerlendirmesine göre seçilir
,,,,,
,,,,,
,,,,,
,,,,,
WhatsIncluded,Category 2,Item 3,Body composition analysis (2×),Vücut kompozisyon analizi (2×),Vücut kompozisyon analizi (x2)
WhatsIncluded,Category 2,Item 4,Infrared sauna and steam room access (daily),Kızılötesi sauna ve buhar odası erişimi (günlük),Kızılötesi sauna ve buhar odası kullanımı (günlük)
WhatsIncluded,Category 2,Item 5,"Colon cleansing (self-administered, daily)","Kolon temizliği (kendi kendine uygulanan, günlük)","Kolon temizliği (kişinin kendisinin uyguladığı, günlük)"
,,,,,
,,,,,
WhatsIncluded,Category 3,Description,"Advanced technologies supporting detoxification, recovery, and metabolic efficiency.","Detoksifikasyon, iyileşme ve metabolik verimliliği destekleyen gelişmiş teknolojiler.","Toksinlerden arınmayı, iyileşmeyi ve metabolik verimliliği destekleyen ileri teknolojiler."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
WhatsIncluded,Category 3,Item 6,Inversion table therapy,Ters masaj masası terapisi,Inversiyon Ters duruş terapisi
,,,,,
,,,,,
WhatsIncluded,Category 4,Item 1,Medical consultations (2×),Tıbbi konsültasyonlar (2×),Tıbbi konsültasyonlar (x2)
WhatsIncluded,Category 4,Item 2,Fully equipped on-site medical clinic,Tam donanımlı yerinde tıbbi klinik,"Tam donanımlı, merkez içi medikal klinik"
WhatsIncluded,Category 4,Item 3,Dedicated medical team of doctors and nurses,Doktor ve hemşirelerden oluşan özel tıbbi ekip,Doktor ve hemşirelerden oluşan özel medikal ekip
WhatsIncluded,Category 4,Item 4,Medical support available 24/7,7/24 mevcut tıbbi destek,7/24 tıbbi destek
WhatsIncluded,Category 4,Item 5,Partnered emergency hospital,Ortaklık yapılan acil hastane,Anlaşmalı acil hastane
WhatsIncluded,Category 5,Title,Cutting-Edge Metabolic Therapies,Son Teknoloji Metabolik Terapiler,İleri Metabolik Terapiler
WhatsIncluded,Category 5,Description,Targeted interventions designed to enhance fat metabolism and physical resilience.,Yağ metabolizmasını ve fiziksel dayanıklılığı artırmak için tasarlanmış hedefli müdahaleler.,Yağ metabolizmasını ve fiziksel dayanıklılığı artıran sonuç odaklı uygulamalar.
WhatsIncluded,Category 5,Item 1,CAR.O.L bike sessions (2×),CAR.O.L bisiklet seansları (2×),CAR.O.L bisiklet seansları (x2)
,,,,,
WhatsIncluded,Category 5,Item 3,Cold plunge sessions (2×),Soğuk su seansları (2×),Soğuk su havuzu seansları (×2)
WhatsIncluded,Category 5,Item 4,Pressotherapy lymphatic drainage (1×),Pressoterapi lenfatik drenaj (1×),Presoterapi lenfatik drenaj (x1)
,,,,,
,,,,,
WhatsIncluded,Category 6,Description,"A structured rhythm of movement, education, and recovery to support long-term wellbeing.","Uzun vadeli sağlığı desteklemek için hareket, eğitim ve iyileşmenin yapılandırılmış ritmi.","Uzun vadeli iyilik hâlini desteklemek için hareketi, eğitimi ve iyileşmeyi bir araya getiren, düzenli ve dengeli bir günlük akış."
,,,,,
,,,,,
,,,,,
WhatsIncluded,Category 6,Item 4,Functional training (3× per week),Fonksiyonel antrenman (haftada 3×),Fonksiyonel antrenman (haftada x3)
,,,,,
,,,,,
WhatsIncluded,Bottom Message,Text,"Accommodation is included — but what you're joining is far more than a stay. It's a fully guided, multi-layered program where every element is included and coordinated for you.","Konaklama dahildir — ancak katıldığınız şey bir konaklamadan çok daha fazlasıdır. Her öğenin dahil olduğu ve sizin için koordine edildiği, tamamen rehberli, çok katmanlı bir programdır.","Konaklama dahildir — ancak bu deneyim yalnızca bir konaklamadan çok daha fazlasıdır. Bütüncül yaklaşımla her öğenin sizin için koordine edildiği, tamamen rehberli, çok katmanlı bir programdır."
,,,,,
,,,,,
,,,,,
PricingInquiry,Stay Info,Minimum Stay,"Minimum stay 4 days, recommended 7+ days","Minimum konaklama 4 gün, önerilen 7+ gün","Minimum konaklama 4 gün, önerilen süre: 7+ gün"
PricingInquiry,Description 1,Text,"Includes accommodation, personalised program design, meals, therapies, activities, and on-site support.","Konaklama, kişiselleştirilmiş program tasarımı, yemekler, terapiler, aktiviteler ve yerinde destek dahildir.","Konaklama, kişiselleştirilmiş program tasarımı, beslenme, terapiler, ektkinlikler ve merkez içi destek dahildir."
PricingInquiry,Description 2,Text,"This fully inclusive offer reflects a medically informed, multi-layered program designed to support weight loss alongside whole-body health.","Bu tam kapsamlı teklif, kilo kaybını tüm vücut sağlığıyla birlikte desteklemek için tasarlanmış tıbbi bilgiye dayalı, çok katmanlı bir programı yansıtır.","Bu her şey dahil teklif, kilo kaybını tüm beden sağlığıyla birlikte desteklemek üzere tasarlanmış, tıbbi temelli ve çok katmanlı bir programı yansıtır."
,,,,,
PricingInquiry,Note Text,Text,The provided price is for our Bodrum retreat. Other centers may have lower or higher program pricing based on availability.,Belirtilen fiyat Bodrum retreat'imiz içindir. Diğer merkezler müsaitliğe göre daha düşük veya daha yüksek program fiyatlarına sahip olabilir.,"Belirtilen fiyat Bodrum retreat’i içindir. Diğer merkezlerde program fiyatları, müsaitliğe göre daha düşük veya daha yüksek olabilir."
PricingInquiry,Longer Programs,Text,Longer program durations and enhanced program depth are available following consultation.,Daha uzun program süreleri ve geliştirilmiş program derinliği danışmanlık sonrasında mevcuttur.,"Daha uzun program süreleri ve daha derinleştirilmiş program içerikleri, danışma sonrasında sunulabilir."
PricingInquiry,Form Title,Heading,Talk to an Expert,Bir Uzmanla Konuşun,Bir Uzmanla Görüşün
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
